YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1999,12.87,17.63,23.61,29.52,32.93,32.92,31.20,31.26,29.04,25.40,20.90,13.89,15.11,28.69,31.79,25.11,25.18
2000,14.02,15.52,22.12,30.12,34.12,31.92,30.12,30.52,29.92,27.20,21.32,15.81,14.48,28.79,30.85,26.15,25.07
2001,12.37,17.66,22.72,27.91,32.32,31.12,31.22,31.12,30.52,27.12,20.92,16.12,15.28,27.65,31.15,26.19,25.07
2002,14.12,17.02,23.52,30.32,33.72,33.92,34.92,30.92,28.12,26.52,20.62,16.11,15.75,29.19,33.25,25.09,25.82
2003,12.11,17.01,22.51,29.91,32.71,34.41,30.11,30.31,29.01,25.43,19.91,15.11,15.08,28.38,31.61,24.78,24.96
2004,13.51,18.11,25.31,30.31,32.71,32.11,33.11,30.01,30.21,25.11,20.71,16.21,15.58,29.44,31.74,25.34,25.53
2005,13.91,17.21,23.81,28.41,28.96,34.21,30.56,31.51,29.51,999.90,20.51,14.31,15.78,27.06,32.09,25.42,25.09
2006,14.81,21.51,22.11,28.91,32.11,31.21,31.41,31.11,29.71,27.01,21.31,16.11,16.88,27.71,31.24,26.01,25.46
2007,14.31,18.01,22.11,30.61,32.31,33.21,31.71,31.11,29.91,25.51,20.71,15.31,16.14,28.34,32.01,25.38,25.47
2008,13.71,16.21,25.31,28.81,30.71,30.91,31.11,30.11,29.21,27.51,20.91,17.21,15.08,28.28,30.71,25.88,24.98
2009,15.41,18.71,23.91,29.71,33.21,34.51,32.51,31.31,29.51,26.01,20.31,16.11,17.11,28.94,32.78,25.28,26.03
2010,13.71,18.71,26.31,32.71,34.71,34.42,31.41,30.11,28.31,26.91,21.31,15.01,16.18,31.24,31.98,25.51,26.23
2011,12.91,17.61,23.15,28.11,33.41,32.31,31.21,30.71,29.83,26.71,22.11,15.91,15.18,28.22,31.41,26.22,25.26
2012,13.51,16.81,23.32,28.71,33.51,36.21,32.71,29.32,29.57,25.51,19.81,15.71,15.41,28.51,32.75,24.96,25.41
2013,12.51,17.01,23.31,28.61,33.81,32.71,31.01,29.71,30.01,26.41,19.71,17.61,15.08,28.58,31.14,25.38,25.04
2014,13.81,16.11,21.61,27.41,31.51,34.71,32.31,31.71,29.91,26.91,20.61,14.91,15.84,26.84,32.91,25.81,25.35
2015,12.91,19.11,21.71,27.71,33.31,32.51,30.31,30.71,31.11,27.56,21.71,16.01,15.64,27.58,31.18,26.79,25.30
2016,15.36,18.41,24.41,30.66,32.21,34.11,30.96,30.66,30.36,27.41,21.21,16.91,16.59,29.09,31.91,26.33,25.98
2017,14.91,18.66,23.41,30.76,33.06,32.46,31.46,31.11,30.06,27.46,20.36,16.60,16.83,29.08,31.68,25.96,25.89
2018,14.60,18.80,24.85,29.85,33.00,34.75,31.50,30.70,28.55,25.90,20.95,14.85,16.67,29.23,32.32,25.13,25.84
2019,14.05,16.72,21.20,29.50,31.90,34.55,31.95,30.75,30.80,26.20,21.30,13.20,15.21,27.53,32.42,26.10,25.31
2020,13.75,17.00,21.60,27.70,31.95,32.60,31.55,30.60,30.95,25.85,19.00,15.25,14.65,27.08,31.58,25.27,24.65
2021,13.10,20.20,26.15,28.10,30.40,31.95,31.45,30.75,29.35,26.80,19.85,15.30,16.18,28.22,31.38,25.33,25.28
2022,13.10,17.20,25.25,31.20,33.05,33.65,31.25,30.40,29.87,24.95,20.50,15.45,15.20,29.83,31.77,25.11,25.48
2023,13.15,19.45,23.55,27.35,29.60,31.50,30.75,31.10,30.45,25.57,999.90,16.35,16.02,26.83,31.12,25.55,24.88
2024,12.35,16.70,22.30,28.85,33.95,34.70,31.85,29.95,29.30,28.20,22.20,15.80,15.13,28.37,32.17,26.57,25.56
2025,14.65,19.15,23.75,30.40,31.45,32.30,30.30,29.15,28.80,25.85,19.60,15.60,16.53,28.53,30.58,24.75,25.10
2026,13.45,19.30,25.10,29.05,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,16.12,29.40,999.90,999.90,999.90
