YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
2010,-0.75,-0.37,7.36,14.74,18.77,24.18,24.85,24.96,21.01,14.53,8.53,-1.83,0.71,13.62,24.66,14.69,13.42
2011,-0.16,4.99,7.99,14.68,17.76,22.45,25.46,24.36,20.24,13.33,9.92,5.86,1.00,13.48,24.09,14.50,13.27
2012,999.90,4.91,13.17,12.58,19.98,21.33,26.02,23.51,19.90,13.99,6.18,5.61,4.75,15.24,23.62,13.36,14.24
2013,2.58,2.23,4.31,13.26,17.51,22.05,23.46,22.09,20.25,15.22,6.43,3.47,3.47,11.69,22.53,13.97,12.92
2014,-2.94,1.21,4.90,13.71,17.94,22.84,22.66,22.48,20.02,13.95,4.80,4.80,0.58,12.18,22.66,12.92,12.09
2015,0.58,-2.91,6.80,13.34,19.88,23.12,23.86,22.81,21.33,14.48,10.35,9.62,0.82,13.34,23.26,15.39,13.20
2016,-0.74,3.77,10.96,14.21,16.85,21.87,24.29,25.42,22.65,16.37,9.56,4.38,4.22,14.01,23.86,16.19,14.57
2017,999.90,7.25,7.67,16.16,17.52,21.13,24.10,22.71,20.19,16.19,8.32,2.73,5.18,13.78,22.65,14.90,14.13
2018,-1.15,6.63,5.70,10.81,21.19,23.12,24.06,24.21,23.37,15.21,6.24,4.51,2.74,12.57,23.80,14.94,13.51
2019,2.57,5.82,6.31,14.35,19.95,21.26,25.40,24.15,23.59,16.31,5.98,5.33,4.30,13.54,23.60,15.29,14.18
2020,4.66,5.13,10.80,11.22,15.82,21.33,25.93,24.16,19.56,15.25,10.36,3.11,5.04,12.61,23.81,15.06,14.13
2021,2.16,1.21,9.76,12.32,16.21,22.22,24.05,25.10,20.64,17.06,7.18,7.50,2.16,12.76,23.79,14.96,13.42
2022,-0.33,3.99,8.71,12.48,18.73,22.22,24.32,23.71,19.53,12.17,8.80,3.14,3.72,13.31,23.42,13.50,13.49
2023,5.75,6.87,8.27,14.24,16.33,20.01,24.22,23.30,20.75,15.12,7.98,5.46,5.25,12.95,22.51,14.62,13.83
2024,1.55,7.16,10.10,14.50,19.87,23.00,24.99,24.37,21.28,15.35,10.95,3.81,4.72,14.82,24.12,15.86,14.88
2025,-2.16,4.40,10.35,14.44,17.49,23.44,999.90,23.34,20.77,14.89,8.04,3.01,2.02,14.09,23.81,14.57,13.62
2026,0.11,999.90,11.56,16.84,16.84,999.90,999.90,999.90,999.90,999.90,999.90,999.90,1.86,15.08,999.90,999.90,999.90
